Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	36.078006500541	41.304347826086	42.446043165467	28.648648648648	31.753554502369	30.526315789473	45.142857142857	45.962732919254	39.361702127659	34.686971235194	36.757775683317
2005	28.659793814432	36.075949367088	43.712574850299	24.615384615384	25.102880658436	22.885572139303	26.785714285714	40.25974025974	31.2625250501	28.45786963434	29.698581560283
2007	34.035827186512	37.704918032786	43.708609271523	34.69387755102	28.282828282828	29.186602870813	28.651685393258	44.680851063829	36.475409836065	32.761578044596	34.453781512605
2011	43.517587939698	46.794871794871	45.588235294117	37.74834437086	40.306122448979	41.203703703703	37.563451776649	56.862745098039	46.6796875	41.784037558685	43.96177237185
2015	43.852459016393	57.03125	43.209876543209	46.666666666666	39.473684210526	44.888888888888	42.794759825327	50.641025641025	49.506903353057	41.876046901172	45.380434782608
2003_n	923	138	139	185	211	190	175	161	470	591	1061
2005_n	970	158	167	195	243	201	168	154	499	629	1128
2007_n	949	122	151	147	198	209	178	188	488	583	1071
2011_n	995	156	136	151	196	216	197	255	512	639	1151
2015_n	976	128	81	105	152	225	229	312	507	597	1104
