Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2012	47.56625683	54.17980244	112.2278689	12.52795292	57.96592979
2013	51.43038605	53.63780822	107.8541096	11.96621005	58.99905822
2014	55.93648817	54.112	100.286758	13.34383562	61.0422089
2015	66.54221669	55.57731507	101.9147641	15.82294521	65.84591251
2016	72.27759563	56.66656158	95.88615665	20.78333333	64.52954235
2017	74.63287671	63.34257113	98.761805	28.99863014	68.00261328
2018	73.13150685	64.22202318	100.3250604	28.9260274	68.51886196
2019	78.7500761	67.60317808	95.90030441	31.08667497	70.90458795
2020	60.7671524	57.42688525	85.3783434	28.00903741	60.13458354
2021	68.284018265	63.213150685	77.445890411	33.497488584	62.814736405
Ø 2012-2021	64.931857370	58.998129563	97.598106082	22.496213562	63.875803490


