"Jahr"	"Makrozoobenthos Wiese"	"Fischfauna Wiese"	"Zielwert"
1996	"2 = unbefriedigend"		"4 = gut"
1997			"4 = gut"
1998			"4 = gut"
1999			"4 = gut"
2000			"4 = gut"
2001	"3 = mässig"		"4 = gut"
2002			"4 = gut"
2003			"4 = gut"
2004		"3 = mässig"	"4 = gut"
2005			"4 = gut"
2006	"4 = gut"		"4 = gut"
2007			"4 = gut"
2008			"4 = gut"
2009			"4 = gut"
2010			"4 = gut"
2011	"4 = gut"	"4 = gut"	"4 = gut"
2012			"4 = gut"
2013			"4 = gut"
2014			"4 = gut"
2015			"4 = gut"
2016	"3 = mässig"		"4 = gut"
2017			"4 = gut"
2018			"4 = gut"
2019			"4 = gut"
2020			"4 = gut"
2021			"4 = gut"
2022			"4 = gut"
