Jahr	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel	Stadt Basel
2004	22.0	30.0	15.7	10.7	48.2	31.4
2005	21.7	30.0	16.1	9.8	48.4	31.3
2006	21.5	30.4	16.0	9.9	46.6	31.2
2007	20.7	30.4	16.4	9.5	48.4	31.1
2008	20.6	30.4	16.4	9.5	46.8	30.7
2009	20.9	30.1	15.6	9.1	45.6	30.3
2010	21.0	30.9	15.5	8.0	44.4	30.2
2011	21.3	30.2	15.3	7.8	42.3	29.9
2012	22.9	29.8	14.9	7.5	40.7	29.6
2013	22.9	30.7	14.8	8.3	40.6	29.3
2014	23.9	30.7	15.1	8.2	43.8	29.2
2015	24.5	31.0	15.1	8.5	44.5	29.1
2016	23.8	29.5	15.4	8.7	44.1	28.9
2017	23.8	30.0	15.6	8.9	45.3	28.8
2018	23.0	30.0	15.5	9.9	46.0	28.6
2019	22.8	29.1	16.2	9.7	45.2	28.6
2020	22.6	28.9	15.9	9.3	45.7	28.3
2021	23.8	30.0	16.2	9.5	42.9	28.5
2022	24.7	28.7	16.6	9.0	42.6	28.3
2023	24.9	29.7	16.8	8.9	42.3	28.3
