Tag	Inland	Ausland
2023-1-1	973	1610
2023-1-2	871	1353
2023-1-3	920	1305
2023-1-4	940	1228
2023-1-5	810	1145
2023-1-6	876	1305
2023-1-7	964	1178
2023-1-8	396	1059
2023-1-9	678	1408
2023-1-10	916	1544
2023-1-11	1005	1535
2023-1-12	929	1317
2023-1-13	1322	1339
2023-1-14	1840	1397
2023-1-15	487	1098
2023-1-16	1030	1855
2023-1-17	1193	2066
2023-1-18	1128	2027
2023-1-19	1046	1613
2023-1-20	1186	1466
2023-1-21	1235	1305
2023-1-22	512	1120
2023-1-23	947	1774
2023-1-24	1222	2031
2023-1-25	970	1929
2023-1-26	1046	1533
2023-1-27	908	1410
2023-1-28	1394	1640
2023-1-29	451	1140
2023-1-30	891	1672
2023-1-31	974	1807
2023-2-1	729	1764
2023-2-2	824	1510
2023-2-3	1171	1572
2023-2-4	1572	1642
2023-2-5	573	1321
2023-2-6	776	1971
2023-2-7	981	2260
2023-2-8	933	2207
2023-2-9	773	1744
2023-2-10	929	1606
2023-2-11	1382	1420
2023-2-12	499	1209
2023-2-13	737	1827
2023-2-14	961	2123
2023-2-15	923	2055
2023-2-16	771	1662
2023-2-17	985	1633
2023-2-18	1316	1847
2023-2-19	582	1383
2023-2-20	816	1733
2023-2-21	1300	1915
2023-2-22	826	1977
2023-2-23	1030	2099
2023-2-24	984	1844
2023-2-25	1462	1755
2023-2-26	4639	2165
2023-2-27	3911	2177
2023-2-28	3124	1976
2023-3-1	2162	1625
2023-3-2	728	1271
2023-3-3	836	1393
2023-3-4	1062	1505
2023-3-5	523	1274
2023-3-6	902	1951
2023-3-7	983	2214
2023-3-8	945	2231
2023-3-9	994	2050
2023-3-10	1114	1789
2023-3-11	1408	1930
2023-3-12	581	1499
2023-3-13	906	1912
2023-3-14	1073	2296
2023-3-15	1345	2540
2023-3-16	1228	2120
2023-3-17	1077	1901
2023-3-18	1610	2305
2023-3-19	999	2987
2023-3-20	1347	3780
2023-3-21	1371	3874
2023-3-22	1333	3450
2023-3-23	1374	2819
2023-3-24	1480	2209
2023-3-25	2110	2184
2023-3-26	776	1954
2023-3-27	1521	2385
2023-3-28	1591	2710
2023-3-29	1518	2678
2023-3-30	1491	2453
2023-3-31	1270	2295
2023-4-1	1447	2482
2023-4-2	674	1849
2023-4-3	972	1819
2023-4-4	1189	1749
2023-4-5	891	1737
2023-4-6	1082	2043
2023-4-7	2195	2849
2023-4-8	2280	2963
2023-4-9	1462	2449
2023-4-10	896	1747
2023-4-11	1363	1850
2023-4-12	1566	2262
2023-4-13	1664	2484
2023-4-14	1367	1944
2023-4-15	1800	1772
2023-4-16	914	1612
2023-4-17	1482	2545
2023-4-18	1791	3094
2023-4-19	1657	3357
2023-4-20	1554	2884
2023-4-21	1887	2432
2023-4-22	2184	2612
2023-4-23	1052	2627
2023-4-24	1650	3200
2023-4-25	1458	3164
2023-4-26	1687	2955
2023-4-27	1706	2819
2023-4-28	1720	3025
2023-4-29	2721	3200
2023-4-30	1340	2485
2023-5-1	757	1631
2023-5-2	1418	2270
2023-5-3	1432	2581
2023-5-4	1461	2237
2023-5-5	1626	2137
2023-5-6	2009	2430
2023-5-7	926	2137
2023-5-8	1369	2412
2023-5-9	1795	2690
2023-5-10	2062	2733
2023-5-11	1907	2440
2023-5-12	1616	2211
2023-5-13	2016	2307
2023-5-14	760	1915
2023-5-15	1013	1995
2023-5-16	1084	2055
2023-5-17	1954	2048
2023-5-18	4316	2946
2023-5-19	4386	3014
2023-5-20	3252	3097
2023-5-21	992	2290
2023-5-22	1246	3021
2023-5-23	1576	3953
2023-5-24	1577	3969
2023-5-25	1527	2837
2023-5-26	1887	2506
2023-5-27	2846	3068
2023-5-28	1782	2297
2023-5-29	715	1629
2023-5-30	1247	2251
2023-5-31	1580	2478
2023-6-1	1564	2518
2023-6-2	1703	2456
2023-6-3	1727	2590
2023-6-4	810	2218
2023-6-5	1215	2675
2023-6-6	1581	2901
2023-6-7	1591	2959
2023-6-8	1824	2930
2023-6-9	1533	2838
2023-6-10	1647	2933
2023-6-11	870	3176
2023-6-12	1405	4406
2023-6-13	1406	4612
2023-6-14	1446	4434
2023-6-15	1296	3878
2023-6-16	1348	3609
2023-6-17	1402	3430
2023-6-18	864	2677
