Jahr	Tonnen pro Kopf	Zielpfad	Bewertung
2012	4.320204047		
2013			
2014	3.898914093		
2015			
2016	3.746981746		
2017			
2018	3.474842667	3.474842667	0
2019		3.291956211	0
2020	3.067227186	3.109069754	0
2021		2.926183298	
2022		2.743296842	
2023		2.560410386	
2024		2.37752393	
2025		2.194637474	
2026		2.011751018	
2027		1.828864561	
2028		1.645978105	
2029		1.463091649	
2030		1.280205193	
2031		1.097318737	
2032		0.914432281	
2033		0.731545825	
2034		0.548659368	
2035		0.365772912	
2036		0.182886456	
2037		0	
